1594,22,2,4,7,30,21,82,4,1,11,4,48,47,30,10,14,51,6,4,10,2,5,34,16,5
14,1666,17,26,44,1,26,16,0,5,16,0,5,0,11,2,10,30,59,0,2,2,3,8,6,25
2,18,1731,3,70,5,51,1,2,7,79,16,1,4,26,4,12,33,7,4,2,0,0,1,2,4
5,55,2,1719,2,5,10,3,8,24,0,3,1,10,114,28,45,4,12,1,56,6,21,2,5,27
10,36,31,0,1625,23,28,9,7,13,24,4,0,2,4,2,3,57,7,0,6,12,2,5,0,45
43,5,7,0,52,1575,20,16,13,21,29,1,0,7,4,67,46,45,1,65,1,18,2,14,16,9
17,14,30,6,50,17,1644,8,5,8,5,15,2,2,9,0,111,2,36,2,12,2,10,1,1,12
114,17,0,2,1,6,4,1604,2,4,27,1,70,140,6,3,1,14,1,3,38,27,16,3,23,11
1,6,1,5,9,30,0,4,1749,55,14,46,1,2,0,11,0,12,17,6,1,12,0,80,65,24
3,5,16,28,8,21,14,1,78,1670,0,7,0,3,5,2,10,0,121,2,20,5,1,10,54,53
14,16,29,2,25,11,2,12,4,2,1514,19,7,29,2,3,1,138,5,6,10,51,7,73,20,9
1,3,46,5,27,7,19,4,6,8,42,1886,0,10,0,0,6,2,7,0,14,7,15,11,0,25
38,9,2,7,1,8,11,44,2,2,11,0,1774,69,12,1,0,6,4,7,11,4,23,2,4,5
43,7,12,3,6,0,7,114,1,1,16,4,57,1427,15,1,7,27,1,0,46,52,122,6,1,18
7,34,49,154,2,1,10,0,0,5,0,0,8,4,1766,5,44,1,14,0,40,0,1,0,1,0
33,16,20,32,4,153,2,8,1,6,0,1,11,2,4,1768,22,35,1,20,1,2,0,1,24,7
11,10,12,15,2,23,124,3,5,11,2,1,6,12,33,10,1619,62,21,3,16,5,10,6,2,11
38,38,13,2,64,20,5,14,0,1,140,5,16,23,6,17,49,1446,7,0,19,16,4,49,2,36
0,21,3,4,31,13,31,2,23,54,1,0,0,1,7,1,12,0,1712,1,1,2,0,6,4,6
0,1,8,1,1,62,0,1,5,76,4,1,21,2,1,70,3,17,3,1882,1,2,0,4,67,2
7,9,35,14,4,0,26,40,1,52,12,27,14,57,10,0,46,5,9,1,1622,167,95,5,2,4
4,1,2,5,7,10,2,27,14,4,40,3,18,75,16,3,2,9,1,1,74,1582,36,60,79,1
4,1,5,4,5,2,17,22,0,1,8,7,11,141,1,2,8,5,1,0,68,32,1703,3,1,6
52,10,0,12,3,11,2,19,64,5,72,14,0,10,0,2,3,44,19,2,6,35,7,1620,47,38
21,17,3,7,9,42,1,28,35,28,15,10,13,4,2,72,2,9,10,72,2,40,1,76,1640,13
8,47,8,24,25,8,7,2,55,20,2,9,0,1,0,0,8,30,2,2,5,1,0,4,2,1688
